"time";"lambda_T";"B"
357;7,14;8,35466968905777
369;7,38;11,776677172174
403;8,06;29,630384957905
481;9,62;17,2436478280159
13;0,26;47,3624679579878
51;1,02;33,6172873148315
93;1,86;26,6386456335289
112;2,24;8,10659103102465
136;2,72;6,72663184200162
198;3,96;13,0617410183129
409;8,18;26,4692138726227
436;8,72;28,9364321454076
453;9,06;24,3711443263443
193;3,86;34,2101804456029
201;4,02;24,0203546950336
212;4,24;15,3802102305615
259;5,18;4,21651206557824
294;5,88;22,4614558773253
328;6,56;23,159869942445
330;6,6;17,0267290677249
350;7;10,1999653591913
382;7,64;10,6494119126213
121;2,42;17,3882554281744
161;3,22;16,7818238280166
231;4,62;13,1146664550154
246;4,92;3,17020704549134
330;6,6;5
353;7,06;8,95549213852366
419;8,38;8,82216731285838
477;9,54;14,8584238466503
489;9,78;0,421501201011718
81;1,62;28,7913483104482
131;2,62;10
149;2,98;26,2102557392894
213;4,26;13,6746958885485
224;4,48;2,28208864544131
310;6,2;10,3988091379761
326;6,52;24,50074489622
419;8,38;5,37322569476602
427;8,54;40,0242270716829
30;0,6;50,7264716558357
38;0,76;46,6509207299
45;0,9;47,3384004157917
190;3,8;31,021966490717
208;4,16;18,1408487824685
274;5,48;7,39422903164786
387;7,74;12,1943514575646
466;9,32;9,40599606270224
484;9,68;7,52564295661601
212;4,24;36,2046965780026
263;5,26;1,86439026856632
280;5,6;27,8650908754924
329;6,58;20,1568016727069
369;7,38;1,71711742295536
389;7,78;21,24656909862
461;9,22;9,99820554849437
474;9,48;9,08715304137408
485;9,7;3,28602725750367
40;0,8;41,2573498929378
62;1,24;31,799483266431
221;4,42;26,7601588996899
270;5,4;5
299;5,98;30,1804392670739
324;6,48;23,9202874135067
353;7,06;10,7564170247094
415;8,3;16,7332640697208
497;9,94;13,5499116915895
29;0,58;32,9683963687249
42;0,84;42,7810213780654
154;3,08;27,9601433349432
195;3,9;19,4204805094436
379;7,58;12,8475376482012
387;7,74;26,2317499495048
444;8,88;21,871862127156
451;9,02;24,2241591174433
457;9,14;22,2522963596822
47;0,94;38,7190999494546
127;2,54;20,0539061820332
131;2,62;27,9168833024052
163;3,26;23,6555489695585
220;4,4;10,6772593259148
234;4,68;0,586504702818576
301;6,02;6,36437232002682
305;6,1;32,6778013353734
327;6,54;24,3044305974908
183;3,66;22,2630696143395
186;3,72;24,591198060905
214;4,28;17,2364199813708
233;4,66;2,65321176525393
291;5,82;20
309;6,18;31,0178246078928
382;7,64;6,3350661797931
443;8,86;14,2922043612314
459;9,18;18,0282838217055
12;0,24;45,5356071600387
107;2,14;13,608459769425
145;2,9;14,2028560900299
157;3,14;28,4531995967648
183;3,66;23,3451351424816
190;3,8;24,7780946052282
253;5,06;11,2339176127493
275;5,5;24,1875584668469
418;8,36;14,164596338038
