"";"time";"Dist";"Var1";"Var2";"Var3";"Var4"
"31801";547;0,0367834788879009;0,3;0,1;0,45;0,15
"49441";547;0,0367069237425913;0,3;0,1;0,35;0,25
"13721";547;0,0366972212027505;0,35;0,1;0,5;0,05
"65761";547;0,0357789560090922;0,45;0,1;0,1;0,35
"40621";547;0,0354609031652079;0,3;0,1;0,4;0,2
"66201";547;0,0351553147516853;0,4;0,1;0,15;0,35
"379811";547;0,0349878435694057;0,6;0,1;0,1;0,2
"101901";547;0,0320630300884471;0,4;0,05;0;0,55
"4021";547;0,0318701752782346;0,45;0,1;0,45;0
"57821";547;0,0317643569777891;0,35;0,1;0,25;0,3
"120421";547;0,0313451428561956;0,3;0,05;0;0,65
"56501";547;0,0307798412545928;0,5;0,1;0,1;0,3
"472411";547;0,030713670495481;0,55;0,1;0,1;0,25
"22541";547;0,0303291684152573;0,35;0,1;0,45;0,1
"3141";547;0,0298878617107623;0,55;0,1;0,35;0
"115211";547;0,0298762272895927;0,6;0,1;0,25;0,05
"3581";547;0,02917392788845;0,5;0,1;0,4;0
"13281";547;0,0287049072388684;0,4;0,1;0,45;0,05
"203411";547;0,028534612879993;0,6;0,1;0,2;0,1
"49001";547;0,0265486294418022;0,35;0,1;0,3;0,25
"57381";547;0,0262265192928346;0,4;0,1;0,2;0,3
"31361";547;0,025819281666525;0,35;0,1;0,4;0,15
"56941";547;0,0258105983652506;0,45;0,1;0,15;0,3
"40181";547;0,0243493941058604;0,35;0,1;0,35;0,2
"384211";547;0,0235485270246162;0,55;0,1;0,15;0,2
"11961";547;0,0232209339801445;0,55;0,1;0,3;0,05
"12841";547;0,022624088187242;0,45;0,1;0,4;0,05
"47681";547;0,0213387350086969;0,5;0,1;0,15;0,25
"22101";547;0,020870349667909;0,4;0,1;0,4;0,1
"12401";547;0,0203684934540448;0,5;0,1;0,35;0,05
"29601";547;0,0190446284279862;0,55;0,1;0,2;0,15
"20781";547;0,0189747029567821;0,55;0,1;0,25;0,1
"48561";547;0,0184622724714899;0,4;0,1;0,25;0,25
"48121";547;0,0160153886370968;0,45;0,1;0,2;0,25
"30921";547;0,014880082463209;0,4;0,1;0,35;0,15
"39741";547;0,0136992057815104;0,4;0,1;0,3;0,2
"21661";547;0,0133293139249421;0,45;0,1;0,35;0,1
"38861";547;0,012790291839435;0,5;0,1;0,2;0,2
"21221";547;0,0122665541838413;0,5;0,1;0,3;0,1
"30041";547;0,0080253519065338;0,5;0,1;0,25;0,15
"39301";547;0,00658143452473016;0,45;0,1;0,25;0,2
"30481";547;0,0043965255720538;0,45;0,1;0,3;0,15
"16361";730;0,0570197364026277;0,05;0,1;0,8;0,05
"14601";730;0,0553972880689322;0,25;0,1;0,6;0,05
"84701";730;0,0537649216253248;0,35;0,05;0,15;0,45
"7981";730;0,0536500706544951;0;0,1;0,9;0
"60001";730;0,0521921207315898;0,15;0,05;0,5;0,3
"67061";730;0,0519069625459642;0,35;0,05;0,25;0,35
"15921";730;0,0518963373012909;0,1;0,1;0,75;0,05
"102781";730;0,0517648018344637;0,3;0,05;0,1;0,55
"15041";730;0,0511639491044688;0,2;0,1;0,65;0,05
"121301";730;0,0510212052956013;0,2;0,05;0,1;0,65
"75881";730;0,0508984022611597;0,35;0,05;0,2;0,4
"78521";730;0,0508426259855589;0,05;0,05;0,5;0,4
"15481";730;0,0498811534567958;0,15;0,1;0,7;0,05
"122181";730;0,0489868294109901;0,1;0,05;0,2;0,65
"69261";730;0,0484386531073247;0,1;0,05;0,5;0,35
"112041";730;0,0480212814104385;0,25;0,05;0,1;0,6
"59561";730;0,0471650477634014;0,2;0,05;0,45;0,3
"5781";730;0,0462848106139556;0,25;0,1;0,65;0
"121741";730;0,0462458846642721;0,15;0,05;0,15;0,65
"59121";730;0,0459800878274067;0,25;0,05;0,4;0,3
"7541";730;0,0456038026064345;0,05;0,1;0,85;0
"87341";730;0,0445744077752551;0,05;0,05;0,45;0,45
"104981";730;0,0434570172098326;0,05;0,05;0,35;0,55
"93961";730;0,0425433807979063;0,3;0,05;0,15;0,5
"96161";730;0,0418254667043915;0,05;0,05;0,4;0,5
"6221";730;0,0408660627175433;0,2;0,1;0,7;0
