"time";"lambda_T";"B"
454;9,08;3,42209312497446
457;9,14;21,6535031938605
480;9,6;7,92700673541678
491;9,82;8,15917018083461
41;0,82;37,7027387160129
124;2,48;11,8894263167075
151;3,02;23,1091188618736
227;4,54;7,62759477102813
272;5,44;6,65998902646094
446;8,92;28,5243528331013
454;9,08;23,5884830743185
460;9,2;15,9089891950853
488;9,76;3,03118730116352
74;1,48;15,5389705626367
88;1,76;20,2001205700121
148;2,96;4,73404653371929
197;3,94;22,6469552406005
338;6,76;19,7859173764282
350;7;7,39259550956528
374;7,48;5,8540103714403
391;7,82;20,576985152992
439;8,78;17,4879722958267
214;4,28;7,58448524627066
257;5,14;5,59420365751431
274;5,48;26,034061508886
284;5,68;30,8277575034263
368;7,36;9,60989608406028
377;7,54;18,1752672927906
398;7,96;21,6269226827918
450;9;17,3775314174308
481;9,62;9,70519730435249
31;0,62;40,8133960550152
56;1,12;32,9149870926433
153;3,06;20,2056536738083
186;3,72;27,5737524204641
189;3,78;29,9182852788074
298;5,96;17,8080536169393
374;7,48;11,974292832302
378;7,56;22,5136843285647
410;8,2;28,9338436055913
131;2,62;12,7661915043425
156;3,12;25,0722127164312
208;4,16;20,6104067327388
313;6,26;12,5734715052721
362;7,24;9,69596141812188
369;7,38;14,6638290146228
394;7,88;19,3038824746653
440;8,8;19,0520175609063
495;9,9;11,1566031333303
128;2,56;8,36617057145365
168;3,36;19,3257318064389
229;4,58;9,00513120127736
317;6,34;5,08376995678328
339;6,78;16,7960293529947
361;7,22;1,76142773554823
391;7,82;12,5738622706366
408;8,16;50,3941729300914
484;9,68;12,2743093671758
60;1,2;38,9425392688706
281;5,62;0,743811486304208
285;5,7;34,6705684312901
294;5,88;24,9573004317777
298;5,96;34,3455077873197
357;7,14;13,2981176619663
374;7,48;9,76752604487924
418;8,36;15,6294174127037
462;9,24;17,3958834721792
17;0,34;53,3098113141692
135;2,7;16,9597512255974
177;3,54;11,8825655531104
191;3,82;29,2404324132388
203;4,06;18,9079987828299
214;4,28;9,29670529101927
407;8,14;8,45124452899709
435;8,7;28,0289053584886
450;9;24,6249796410505
40;0,8;38,6190934734932
73;1,46;27,6969679916207
106;2,12;8,85992542076981
158;3,16;11,1748269473073
206;4,12;21,1114318597638
303;6,06;12,9152739077159
339;6,78;17,7243388263938
345;6,9;9,11051196480363
425;8,5;2,69823937948847
17;0,34;52,7237183088394
37;0,74;39,9137852201302
147;2,94;22,0046801262398
206;4,12;18,0664299053341
232;4,64;1,30630583065176
339;6,78;3,34873422503189
387;7,74;2,81941337079025
431;8,62;18,1782010785762
486;9,72;11,5959069662825
135;2,7;17,253234163258
154;3,08;21,3404675455136
211;4,22;10,037026849198
265;5,3;3,81939242033945
