"";"time";"Dist";"Var1";"Var2";"Var3"
"806801";457;0,0322510214070717;0,12;0,09;0,79
"8580011";457;0,0310001840481326;0,05;0,11;0,84
"705001";457;0,0303722387863904;0,2;0,11;0,69
"735501";457;0,0303342283263481;0,18;0,1;0,72
"8170011";457;0,0301363177813474;0,11;0,09;0,8
"9191011";457;0,0294814063024647;0;0,1;0,9
"9292011";457;0,0284190416878781;0;0,09;0,91
"8478011";457;0,02819660494014;0,06;0,11;0,83
"8272011";457;0,0281909670913137;0,1;0,09;0,81
"715201";457;0,0279454980893593;0,19;0,11;0,7
"745701";457;0,027281519843797;0,17;0,1;0,73
"9190011";457;0,0265027106734016;0,01;0,09;0,9
"8374011";457;0,0264626854969923;0,09;0,09;0,82
"9089011";457;0,0258668992951913;0,01;0,1;0,89
"725401";457;0,0256427436208102;0,18;0,11;0,71
"8376011";457;0,0256028604402995;0,07;0,11;0,82
"8476011";457;0,0250079133229892;0,08;0,09;0,83
"9088011";457;0,0249440098010777;0,02;0,09;0,89
"755901";457;0,0242017831690313;0,16;0,1;0,74
"8578011";457;0,0238890925354379;0,07;0,09;0,84
"8986011";457;0,0237967611897923;0,03;0,09;0,88
"735601";457;0,0235112182716375;0,17;0,11;0,72
"8274011";457;0,0232721689550902;0,08;0,11;0,81
"8680011";457;0,0231682794531245;0,06;0,09;0,85
"8884011";457;0,0231059676877127;0,04;0,09;0,87
"8782011";457;0,0228971346675607;0,05;0,09;0,86
"8987011";457;0,0222925822597936;0,02;0,1;0,88
"745801";457;0,0216138209612399;0,16;0,11;0,73
"8172011";457;0,0212731915050836;0,09;0,11;0,8
"766101";457;0,0210947429047616;0,15;0,1;0,75
"756001";457;0,0200308452239243;0,15;0,11;0,74
"807001";457;0,0196885021943637;0,1;0,11;0,79
"766201";457;0,0188567024148101;0,14;0,11;0,75
"8885011";457;0,0187581690740016;0,03;0,1;0,87
"796801";457;0,0186051713035734;0,11;0,11;0,78
"776401";457;0,0181869537289435;0,13;0,11;0,76
"786601";457;0,0180945773699178;0,12;0,11;0,77
"776301";457;0,0179603388426988;0,14;0,1;0,76
"8783011";457;0,0152639003521726;0,04;0,1;0,86
"786501";457;0,0147989766961547;0,13;0,1;0,77
"8681011";457;0,0118112638718842;0,05;0,1;0,85
"796701";457;0,011612200928829;0,12;0,1;0,78
"8579011";457;0,00840543409920163;0,06;0,1;0,84
"8069011";457;0,00840493371989906;0,11;0,1;0,79
"8171011";457;0,00519612967388839;0,1;0,1;0,8
"8477011";457;0,00506724983761268;0,07;0,1;0,83
"8273011";457;0,00212789788550644;0,09;0,1;0,81
"8375011";457;0,00196617462999224;0,08;0,1;0,82
"164701";488;0,0229294694248593;0,7;0,14;0,16
"42201";488;0,0228886101781812;0,83;0,13;0,04
"236001";488;0,0226890047342966;0,64;0,13;0,23
"113501";488;0,0221704062797558;0,77;0,12;0,11
"21901";488;0,0213688445605555;0,84;0,14;0,02
"256301";488;0,0212786360598573;0,63;0,12;0,25
"154501";488;0,0210826634089716;0,71;0,14;0,15
"52401";488;0,0205923511864547;0,82;0,13;0,05
"123701";488;0,020390313901057;0,76;0,12;0,12
"225801";488;0,0201866510259605;0,65;0,13;0,22
"32101";488;0,0197376666975585;0,83;0,14;0,03
"246101";488;0,019452594022045;0,64;0,12;0,24
"144301";488;0,0193821263758135;0,72;0,14;0,14
"133901";488;0,0187256412001101;0,75;0,12;0,13
"62601";488;0,0182870860963646;0,81;0,13;0,06
"42301";488;0,0182477699071196;0,82;0,14;0,04
"134101";488;0,0178641883010429;0,73;0,14;0,13
"235901";488;0,0177930305661183;0,65;0,12;0,23
"215601";488;0,0176985300453617;0,66;0,13;0,21
"144101";488;0,0172137694353639;0,74;0,12;0,14
"52501";488;0,0169406760783816;0,81;0,14;0,05
"123901";488;0,0165733446161837;0,74;0,14;0,12
"225701";488;0,0163449120736262;0,66;0,12;0,22
"72801";488;0,0159729143409338;0,8;0,13;0,07
"154301";488;0,0159026655859919;0,73;0,12;0,15
"62701";488;0,0158662549382544;0,8;0,14;0,06
"113701";488;0,0155602597039948;0,75;0,14;0,11
"205401";488;0,0152247681151371;0,67;0,13;0,2
"215501";488;0,0151628576168115;0,67;0,12;0,21
"72901";488;0,0150793380231125;0,79;0,14;0,07
"103501";488;0,0148757373450391;0,76;0,14;0,1
"164501";488;0,0148503940086269;0,72;0,12;0,16
"83101";488;0,0146317070693948;0,78;0,14;0,08
"93301";488;0,0145601876524044;0,77;0,14;0,09
"205301";488;0,0143067195939195;0,68;0,12;0,2
"174701";488;0,0141201524742726;0,71;0,12;0,17
"195101";488;0,0138308961363503;0,69;0,12;0,19
"184901";488;0,0137687950813498;0,7;0,12;0,18
"83001";488;0,0136501343021145;0,79;0,13;0,08
"195201";488;0,01276578428265;0,68;0,13;0,19
"93201";488;0,01131945391405;0,78;0,13;0,09
"185001";488;0,0103226265022099;0,69;0,13;0,18
"103401";488;0,00898253299406767;0,77;0,13;0,1
"174801";488;0,00789791914091671;0,7;0,13;0,17
"113601";488;0,00664367858958078;0,76;0,13;0,11
"164601";488;0,00549926515248154;0,71;0,13;0,16
"123801";488;0,00431705790010743;0,75;0,13;0,12
"154401";488;0,00315779344073671;0,72;0,13;0,15
"134001";488;0,00208216038728567;0,74;0,13;0,13
"144201";488;0,00117999830221937;0,73;0,13;0,14
"296901";547;0,0291084749981716;0,61;0,1;0,29
"541601";547;0,0284174475034063;0,38;0,09;0,53
"317401";547;0,0282732669674227;0,58;0,11;0,31
"399001";547;0,0281300042727482;0,5;0,11;0,39
"347801";547;0,0278946048222613;0,57;0,09;0,34
"327601";547;0,0273696051115524;0,57;0,11;0,32
"388801";547;0,0272271073572357;0,51;0,11;0,38
"500901";547;0,0267163141319893;0,41;0,1;0,49
"337801";547;0,0266911800950636;0,56;0,11;0,33
"307101";547;0,0266716141294996;0,6;0,1;0,3
"378601";547;0,0265784527880987;0,52;0,11;0,37
"348001";547;0,0262597656848506;0,55;0,11;0,34
"368401";547;0,0261978514523715;0,53;0,11;0,36
"358201";547;0,0260920983090321;0,54;0,11;0,35
"531401";547;0,0259088604877938;0,39;0,09;0,52
"358001";547;0,0256254700568739;0,56;0,09;0,35
"317301";547;0,0242450061094642;0,59;0,1;0,31
"490701";547;0,0240333842251187;0,42;0,1;0,48
"521201";547;0,0234832336364831;0,4;0,09;0,51
"368201";547;0,0234043683829973;0,55;0,09;0,36
"327501";547;0,0218360884698315;0,58;0,1;0,32
"480501";547;0,0214039724480598;0,43;0,1;0,47
"378401";547;0,0212503416473056;0,54;0,09;0,37
"511001";547;0,0211619070682848;0,41;0,09;0,5
"337701";547;0,0194561076142357;0,57;0,1;0,33
"388601";547;0,0191905659552639;0,53;0,09;0,38
"500801";547;0,018975439025412;0,42;0,09;0,49
"470301";547;0,0188421238097601;0,44;0,1;0,46
"398801";547;0,0172640988475999;0,52;0,09;0,39
"347901";547;0,0171226383424608;0,56;0,1;0,34
"490601";547;0,0169676649183588;0,43;0,09;0,48
"460101";547;0,0163702653690583;0,45;0,1;0,45
"409001";547;0,0155267563839427;0,51;0,09;0,4
"480401";547;0,0152005233532132;0,44;0,09;0,47
"358101";547;0,014864174279085;0,55;0,1;0,35
"419201";547;0,0140558716667457;0,5;0,09;0,41
"449901";547;0,0140255240229137;0,46;0,1;0,44
"470201";547;0,0137574076633632;0,45;0,09;0,46
"429401";547;0,0129504917986842;0,49;0,09;0,42
"460001";547;0,012738850737957;0,46;0,09;0,45
"368301";547;0,0127286650739381;0,54;0,1;0,36
"439601";547;0,0123180786651584;0,48;0,09;0,43
"449801";547;0,0122411909330725;0,47;0,09;0,44
"439701";547;0,0118713976268612;0,47;0,1;0,43
"378501";547;0,0107990555407727;0,53;0,1;0,37
"429501";547;0,0100177154239674;0,48;0,1;0,42
"388701";547;0,00921749734187612;0,52;0,1;0,38
"419301";547;0,00864424209203657;0,49;0,1;0,41
"398901";547;0,00820189118177913;0,51;0,1;0,39
"409101";547;0,00798610511904212;0,5;0,1;0,4
"633101";730;0,0428914364736344;0,32;0,06;0,62
"908401";730;0,0422847019287886;0,06;0,05;0,89
"643201";730;0,0408489444195396;0,32;0,05;0,63
"643301";730;0,0404263508664004;0,31;0,06;0,63
"857501";730;0,0403883897795546;0,1;0,06;0,84
"898201";730;0,0390322866934864;0,07;0,05;0,88
"653401";730;0,0381069297140559;0,31;0,05;0,64
"653501";730;0,0380160425311426;0,3;0,06;0,64
"847301";730;0,0376132649563173;0,11;0,06;0,83
"888001";730;0,03583016344018;0,08;0,05;0,87
"663701";730;0,03567559666887;0,29;0,06;0,65
"663601";730;0,0353687992524464;0,3;0,05;0,65
"837101";730;0,0349751940008425;0,12;0,06;0,82
"673901";730;0,0334241269993101;0,28;0,06;0,66
"877801";730;0,0326835759878077;0,09;0,05;0,86
"673801";730;0,0326389025143882;0,29;0,05;0,66
"826901";730;0,0324980268139327;0,13;0,06;0,81
"684101";730;0,0312857923251132;0,27;0,06;0,67
"816701";730;0,0302115062700431;0,14;0,06;0,8
"684001";730;0,029923359161277;0,28;0,05;0,67
"867601";730;0,0296001469475029;0,1;0,05;0,85
"694301";730;0,0292908892747478;0,26;0,06;0,68
"806501";730;0,0281519555187825;0,15;0,06;0,79
"704501";730;0,0274768012856929;0,25;0,06;0,69
"694201";730;0,0272309264094039;0,27;0,05;0,68
"857401";730;0,0265910916065289;0,11;0,05;0,84
"796301";730;0,0263621917677789;0,16;0,06;0,78
"714701";730;0,0258883467461423;0,24;0,06;0,7
"786101";730;0,0248898668038659;0,17;0,06;0,77
"724901";730;0,0245767601272883;0,23;0,06;0,71
"704401";730;0,0245743935066715;0,26;0,05;0,69
"775901";730;0,0237833375345855;0,18;0,06;0,76
"847201";730;0,0236732019881823;0,12;0,05;0,83
"735101";730;0,023596338669562;0,22;0,06;0,72
