"time";"lambda_T";"B_Q1";"B_M";"B_Q3"
148;1,2;7,36702326685964;10;15,2659534662807
197;0,98;15,1469552406005;22,6469552406005;25,1469552406005
338;2,82;17,2859173764282;24,7859173764282;27,2859173764282
350;0,24;6,19629775478264;7,60740449043472;11,1962977547826
374;0,48;8,3540103714403;10,8540103714403;15,8540103714403
391;0,34;25,576985152992;30,576985152992;38,076985152992
439;0,96;19,9879722958267;27,4879722958267;34,9879722958267
214;0,1;10,0844852462707;17,5844852462707;20,0844852462707
257;0,86;5,29710182875715;10;12,5
274;0,34;20,517030754443;21,034061508886;26,034061508886
284;0,2;25,4138787517132;25,8277575034263;30,8277575034263
368;1,68;9,60989608406028;10;14,6098960840603
377;0,18;15,6752672927906;23,1752672927906;25,6752672927906
398;0,42;29,1269226827918;41,6269226827918;46,6269226827918
450;1,04;19,8775314174308;22,3775314174308;27,3775314174308
481;0,62;12,2051973043525;14,7051973043525;19,7051973043525
31;0,5;33,3133960550152;40,8133960550152;45,8133960550152
56;0,5;27,9149870926433;37,9149870926433;40,4149870926433
153;1,94;15,2056536738083;15,2056536738083;20,2056536738083
186;0,66;20,0737524204641;27,5737524204641;32,5737524204641
189;0,06;27,4182852788074;29,9182852788074;34,9182852788074
298;2,18;25,3080536169393;37,8080536169393;42,8080536169393
374;1,52;6,97429283230203;11,974292832302;14,474292832302
378;0,08;20,0136843285647;27,5136843285647;30,0136843285647
410;0,64;31,4338436055913;43,9338436055913;56,4338436055913
131;1,62;11,3830957521712;12,7661915043425;16,3830957521712
156;0,5;20,0722127164312;25,0722127164312;32,5722127164312
208;1,04;13,1104067327388;20,6104067327388;23,1104067327388
313;2,1;15,0734715052721;22,5734715052721;27,5734715052721
362;0,98;7,34798070906094;10;14,6959614181219
369;0,14;12,1638290146228;14,6638290146228;19,6638290146228
394;0,5;24,3038824746653;29,3038824746653;36,8038824746653
440;0,92;21,5520175609063;29,0520175609063;34,0520175609063
495;1,1;8,65660313333035;16,1566031333303;18,6566031333303
128;1,12;7,5;10;15
168;0,8;19,3257318064389;24,3257318064389;31,8257318064389
229;1,22;11,5051312012774;19,0051312012774;21,5051312012774
317;1,76;5,04188497839164;10,0837699567833;12,5837699567833
339;0,44;11,7960293529947;16,7960293529947;21,7960293529947
361;0,44;5,88071386777411;8,23857226445177;10
391;0,6;17,5738622706366;22,5738622706366;30,0738622706366
408;0,34;37,8941729300914;55,3941729300914;62,8941729300914
484;1,52;14,7743093671758;17,2743093671758;22,2743093671758
60;0,16;31,4425392688706;33,9425392688706;43,9425392688706
281;4,42;5,74381148630421;10,7438114863042;20,7438114863042
285;0,08;27,335284215645;29,6705684312901;34,6705684312901
294;0,18;24,9573004317777;25;29,9786502158889
298;0,08;24,6727538936598;29,3455077873197;29,3455077873197
357;1,18;8,29811766196628;13,2981176619663;15,7981176619663
374;0,34;12,2675260448792;14,7675260448792;19,7675260448792
418;0,88;23,1294174127037;30,6294174127037;38,1294174127037
