"";"time";"Dist";"Var1";"Var2";"Var3";"Var4"
"569411";547;0,0232358831955227;0,45;0,1;0,15;0,3
"20781";547;0,0219828115122979;0,55;0,1;0,25;0,1
"21221";547;0,0216781969848318;0,5;0,1;0,3;0,1
"30481";547;0,0181446854744657;0,45;0,1;0,3;0,15
"384211";547;0,0165551525763239;0,55;0,1;0,15;0,2
"296011";547;0,0156095536897497;0,55;0,1;0,2;0,15
"48121";547;0,0138728554916647;0,45;0,1;0,2;0,25
"476811";547;0,0135326237228379;0,5;0,1;0,15;0,25
"39301";547;0,0112121950282485;0,45;0,1;0,25;0,2
"30041";547;0,010313600355016;0,5;0,1;0,25;0,15
"388611";547;0,00269745055758028;0,5;0,1;0,2;0,2
"16361";730;0,0570657205130242;0,05;0,1;0,8;0,05
"14601";730;0,0551500451130973;0,25;0,1;0,6;0,05
"7981";730;0,0538012963732021;0;0,1;0,9;0
"84701";730;0,0535991108990097;0,35;0,05;0,15;0,45
"60001";730;0,0528397513465289;0,15;0,05;0,5;0,3
"67061";730;0,0519438516988708;0,35;0,05;0,25;0,35
"15921";730;0,0518309703974832;0,1;0,1;0,75;0,05
"78521";730;0,0515429576435753;0,05;0,05;0,5;0,4
"102781";730;0,051490518323424;0,3;0,05;0,1;0,55
"15041";730;0,0509391946786799;0,2;0,1;0,65;0,05
"75881";730;0,0508150048724598;0,35;0,05;0,2;0,4
"121301";730;0,0507996157289036;0,2;0,05;0,1;0,65
"15481";730;0,0497192027346254;0,15;0,1;0,7;0,05
"69261";730;0,0491293483146672;0,1;0,05;0,5;0,35
"122181";730;0,0490376149604254;0,1;0,05;0,2;0,65
"112041";730;0,0477272484726877;0,25;0,05;0,1;0,6
"59561";730;0,0477068795577885;0,2;0,05;0,45;0,3
"59121";730;0,0463864796036498;0,25;0,05;0,4;0,3
"121741";730;0,0461213972027992;0,15;0,05;0,15;0,65
"5781";730;0,0459853935069459;0,25;0,1;0,65;0
"7541";730;0,0456317790535591;0,05;0,1;0,85;0
"87341";730;0,0452091929977119;0,05;0,05;0,45;0,45
"104981";730;0,0438680100476766;0,05;0,05;0,35;0,55
"96161";730;0,04236030375289;0,05;0,05;0,4;0,5
"93961";730;0,0422673393643133;0,3;0,05;0,15;0,5
"6221";730;0,0405774102590545;0,2;0,1;0,7;0
"7101";730;0,0402087294135739;0,1;0,1;0,8;0
"68821";730;0,0400074096780834;0,15;0,05;0,45;0,35
"78081";730;0,0385186207956314;0,1;0,05;0,45;0,4
"6661";730;0,0384289414619143;0,15;0,1;0,75;0
"113361";730;0,037632496597996;0,1;0,05;0,25;0,6
"85141";730;0,0368658091310692;0,3;0,05;0,2;0,45
"76321";730;0,0366396345573412;0,3;0,05;0,25;0,4
"103221";730;0,0350972948633086;0,25;0,05;0,15;0,55
"67941";730;0,0349800252091744;0,25;0,05;0,35;0,35
"68381";730;0,0345842160906011;0,2;0,05;0,4;0,35
"86901";730;0,0300337903174193;0,1;0,05;0,4;0,45
"104541";730;0,0291532815686898;0,1;0,05;0,3;0,55
"77641";730;0,0272937852713798;0,15;0,05;0,4;0,4
"95721";730;0,0261707487870108;0,1;0,05;0,35;0,5
"76761";730;0,0254330657096263;0,25;0,05;0,3;0,4
"94401";730;0,0250653449917167;0,25;0,05;0,2;0,5
"103661";730;0,0219348599179834;0,2;0,05;0,2;0,55
"77201";730;0,0213993634947943;0,2;0,05;0,35;0,4
"85581";730;0,0210044255528908;0,25;0,05;0,25;0,45
"104101";730;0,0190499380982139;0,15;0,05;0,25;0,55
"86461";730;0,0155364576948466;0,15;0,05;0,35;0,45
"95281";730;0,0103727558596047;0,15;0,05;0,3;0,5
"94841";730;0,00894638783181342;0,2;0,05;0,25;0,5
"86021";730;0,00891164120632489;0,2;0,05;0,3;0,45
