"";"time";"Dist";"Var1";"Var2";"Var3"
"275701";426;0,0143236076924126;0,71;0,02;0,27
"326701";426;0,0138586979734099;0,66;0,02;0,32
"285901";426;0,0136865771347051;0,7;0,02;0,28
"316501";426;0,0134033423116877;0,67;0,02;0,31
"296101";426;0,0133111192162212;0,69;0,02;0,29
"326801";426;0,0132543718492002;0,65;0,03;0,32
"306301";426;0,0132158884068885;0,68;0,02;0,3
"469601";426;0,0127611302235303;0,51;0,03;0,46
"337001";426;0,0116223952479696;0,64;0,03;0,33
"459401";426;0,0111770311136651;0,52;0,03;0,45
"347201";426;0,010036789041971;0,63;0,03;0,34
"449201";426;0,00963697242115665;0,53;0,03;0,44
"357401";426;0,00852096904094746;0,62;0,03;0,35
"439001";426;0,00816726785763017;0,54;0,03;0,43
"367601";426;0,00711677948827415;0,61;0,03;0,36
"428801";426;0,00681536109425614;0,55;0,03;0,42
"377801";426;0,00590110074217315;0,6;0,03;0,37
"418601";426;0,00566849039319673;0,56;0,03;0,41
"388001";426;0,00500929092384933;0,59;0,03;0,38
"408401";426;0,00487646628029026;0,57;0,03;0,4
"398201";426;0,00462851614277512;0,58;0,03;0,39
"623601";457;0,0163878011124288;0,26;0,13;0,61
"572401";457;0,0159386040750393;0,33;0,11;0,56
"684701";457;0,015841503040091;0,21;0,12;0,67
"460401";457;0,0153903224804704;0,42;0,13;0,45
"705001";457;0,0152295190262812;0,2;0,11;0,69
"501101";457;0,0149991591961512;0,39;0,12;0,49
"613401";457;0,0148545395198559;0,27;0,13;0,6
"582601";457;0,0147954909510079;0,32;0,11;0,57
"470601";457;0,0140651090831321;0,41;0,13;0,46
"694801";457;0,0140345402950475;0,21;0,11;0,68
"674501";457;0,0140069779341955;0,22;0,12;0,66
"592801";457;0,0137423764519797;0,31;0,11;0,58
"511301";457;0,013405263724967;0,38;0,12;0,5
"603201";457;0,0134016589254362;0,28;0,13;0,59
"684601";457;0,0129884240751586;0,22;0,11;0,67
"603001";457;0,0128062626662416;0,3;0,11;0,59
"480801";457;0,0127935226868906;0,4;0,13;0,47
"664301";457;0,0121897707938828;0,23;0,12;0,65
"674401";457;0,0121225275658462;0,23;0,11;0,66
"593001";457;0,012051082732103;0,29;0,13;0,58
"613201";457;0,0120198540398689;0,29;0,11;0,6
"521501";457;0,0118000767449717;0,37;0,12;0,51
"491001";457;0,011598077513771;0,39;0,13;0,48
"664201";457;0,0114703497404837;0,24;0,11;0,65
"623401";457;0,0114198858287596;0,28;0,11;0,61
"654001";457;0,011062364685736;0,25;0,11;0,64
"633601";457;0,0110429845079133;0,27;0,11;0,62
"643801";457;0,010918763457841;0,26;0,11;0,63
"582801";457;0,0108334076019448;0,3;0,13;0,57
"501201";457;0,0105103395326541;0,38;0,13;0,49
"654101";457;0,0103900001700465;0,24;0,12;0,64
"531701";457;0,0101837486295232;0,36;0,12;0,52
"572601";457;0,00979005959572112;0,31;0,13;0,56
"511401";457;0,00957339586434568;0,37;0,13;0,5
"562401";457;0,00897328953456525;0,32;0,13;0,55
"521601";457;0,0088423744339514;0,36;0,13;0,51
"643901";457;0,00860808244502899;0,25;0,12;0,63
"541901";457;0,0085567245671782;0,35;0,12;0,53
"552201";457;0,00844011037825449;0,33;0,13;0,54
"531801";457;0,00837905723123918;0,35;0,13;0,52
"542001";457;0,00823684118451695;0,34;0,13;0,53
"552101";457;0,00692010560696733;0,34;0,12;0,54
"633701";457;0,00684526497931299;0,26;0,12;0,62
"562301";457;0,00527669318413002;0,33;0,12;0,55
"623501";457;0,00510484805954085;0,27;0,12;0,61
"572501";457;0,00363489459658164;0,32;0,12;0,56
"613301";457;0,00339733639699348;0,28;0,12;0,6
"582701";457;0,00203158265926498;0,31;0,12;0,57
"603101";457;0,00177418897572405;0,29;0,12;0,59
"592901";457;0,000851557341582529;0,3;0,12;0,58
"72401";488;0,0545816367272885;0,84;0,09;0,07
"103101";488;0,0543991760244953;0,8;0,1;0,1
"901";488;0,0543859024314168;0,92;0,08;0
"62601";488;0,0542884973912022;0,81;0,13;0,06
"93101";488;0,0542882804822023;0,79;0,12;0,09
"103201";488;0,0537005389351843;0,79;0,11;0,1
"62201";488;0,0535293165861632;0,85;0,09;0,06
"11701";488;0,0532145462860385;0,85;0,14;0,01
"92901";488;0,0532049991938683;0,81;0,1;0,09
"82901";488;0,0529408368480104;0,8;0,12;0,08
"52401";488;0,0529164260588148;0,82;0,13;0,05
"52001";488;0,0524939720884918;0,86;0,09;0,05
"93001";488;0,0524147400816676;0,8;0,11;0,09
"82701";488;0,0520226618832154;0,82;0,1;0,08
"1501";488;0,0518505976387651;0,86;0,14;0
"72701";488;0,0515999064165125;0,81;0,12;0,07
"42201";488;0,0515499897610082;0,83;0,13;0,04
"41801";488;0,0514764336617874;0,87;0,09;0,04
"82801";488;0,0511375722149438;0,81;0,11;0,08
"72501";488;0,0508526571349634;0,83;0,1;0,07
"31601";488;0,0504776274577409;0,88;0,09;0,03
"62501";488;0,0502655003832249;0,82;0,12;0,06
"32001";488;0,0501890972410084;0,84;0,13;0,03
"72601";488;0,0498691920828305;0,82;0,11;0,07
"62301";488;0,0496955659699341;0,84;0,1;0,06
"21401";488;0,0494984289394977;0,89;0,09;0,02
"52301";488;0,0489376444336385;0,83;0,12;0,05
"21801";488;0,0488336612455831;0,85;0,13;0,02
"62401";488;0,0486098934292612;0,83;0,11;0,06
"52101";488;0,048551907963736;0,85;0,1;0,05
"11201";488;0,048539897144974;0,9;0,09;0,01
"42101";488;0,0476163803127103;0,84;0,12;0,04
"1001";488;0,0476031171359202;0,91;0,09;0
